playerID,yearID,gameNumber,teamID,leagueID,playedInGame,startingPosition
jacksla01,1963,0,CHN,NL,1,
koufasa01,1963,0,LAN,NL,0,
maricju01,1963,0,SFN,NL,0,
mazerbi01,1963,0,PIT,NL,0,
mccovwi01,1963,0,SFN,NL,1,
musiast01,1963,0,SLN,NL,1,
santoro01,1963,0,CHN,NL,1,
snidedu01,1963,0,NYN,NL,1,
spahnwa01,1963,0,MLN,NL,0,
torrejo01,1963,0,MLN,NL,0,
willsma01,1963,0,LAN,NL,0,
woodeha01,1963,0,HOU,NL,1,
chancde01,1964,0,LAA,AL,1,1.0
howarel01,1964,0,NYA,AL,1,2.0
allisbo01,1964,0,MIN,AL,1,3.0
richabo01,1964,0,NYA,AL,1,4.0
robinbr01,1964,0,BAL,AL,1,5.0
fregoji01,1964,0,LAA,AL,1,6.0
killeha01,1964,0,MIN,AL,1,7.0
mantlmi01,1964,0,NYA,AL,1,8.0
olivato01,1964,0,MIN,AL,1,9.0
aparilu01,1964,0,BAL,AL,0,
bressed01,1964,0,BOS,AL,0,
colavro01,1964,0,KC1,AL,1,
fordwh01,1964,0,NYA,AL,0,
freehbi01,1964,0,DET,AL,0,
hallji02,1964,0,MIN,AL,1,
hintoch01,1964,0,WS2,AL,1,
kalinal01,1964,0,DET,AL,0,
kralija01,1964,0,CLE,AL,0,
lumpeje01,1964,0,DET,AL,0,
malzofr01,1964,0,BOS,AL,0,
pascuca02,1964,0,MIN,AL,1,
pepitjo01,1964,0,NYA,AL,1,
peterga01,1964,0,CHA,AL,0,
pizarju01,1964,0,CHA,AL,0,
radatdi01,1964,0,BOS,AL,1,
siebeno01,1964,0,BAL,AL,1,
wyattjo02,1964,0,KC1,AL,1,
drysddo01,1964,0,LAN,NL,1,1.0
torrejo01,1964,0,MLN,NL,1,2.0
cepedor01,1964,0,SFN,NL,1,3.0
huntro01,1964,0,NYN,NL,1,4.0
boyerke01,1964,0,SLN,NL,1,5.0
groatdi01,1964,0,SLN,NL,1,6.0
willibi01,1964,0,CHN,NL,1,7.0
mayswi01,1964,0,SFN,NL,1,8.0
clemero01,1964,0,PIT,NL,1,9.0
aaronha01,1964,0,MLN,NL,1,
bunniji01,1964,0,PHI,NL,1,
burgesm01,1964,0,PIT,NL,0,
callijo01,1964,0,PHI,NL,1,
cardele01,1964,0,CIN,NL,1,
edwarjo01,1964,0,CIN,NL,1,
ellswdi01,1964,0,CHN,NL,0,
farretu01,1964,0,HOU,NL,1,
floodcu01,1964,0,SLN,NL,1,
koufasa01,1964,0,LAN,NL,0,
maricju01,1964,0,SFN,NL,1,
mazerbi01,1964,0,PIT,NL,0,
santoro01,1964,0,CHN,NL,0,
shortch02,1964,0,PHI,NL,1,
stargwi01,1964,0,PIT,NL,1,
whitebi03,1964,0,SLN,NL,1,
pappami01,1965,0,BAL,AL,1,1.0
batteea01,1965,0,MIN,AL,1,2.0
killeha01,1965,0,MIN,AL,1,3.0
mantife01,1965,0,BOS,AL,1,4.0
robinbr01,1965,0,BAL,AL,1,5.0
mcauldi01,1965,0,DET,AL,1,6.0
hortowi01,1965,0,DET,AL,1,7.0
davalvi01,1965,0,CLE,AL,1,8.0
colavro01,1965,0,CLE,AL,1,9.0
alvisma01,1965,0,CLE,AL,1,
fisheed02,1965,0,CHA,AL,1,
freehbi01,1965,0,DET,AL,1,
grantmu01,1965,0,MIN,AL,1,
hallji02,1965,0,MIN,AL,1,
howarel01,1965,0,NYA,AL,0,
kalinal01,1965,0,DET,AL,1,
leebo01,1965,0,CAL,AL,0,
mantlmi01,1965,0,NYA,AL,0,
